target,candidate,window,role,feature,n_oos,rmse,rmse_base,rmse_ratio,mape_%,hit,hit_base,orthogonalised,vs_baseline
rev_yoy,dd_abs,d30,control,plc_abs_d30,13,0.03950526686323294,0.019969430552811713,1.978287100313462,12.347770174672885,0.6153846153846154,0.7692307692307693,False,guidance + auto-window beat
rev_yoy,dd_abs,d45,candidate,dd_abs_d45,13,0.026600012797835703,0.019969430552811713,1.332036621048786,8.555614720383685,0.5384615384615384,0.7692307692307693,False,guidance + auto-window beat
rev_yoy,dd_abs,d45,control,plc_abs_d45,13,0.0396939306634637,0.019969430552811713,1.9877347307670103,12.661226077184528,0.6153846153846154,0.7692307692307693,False,guidance + auto-window beat
rev_yoy,dd_abs,d60,candidate,dd_abs_d60,13,0.02768354922267353,0.019969430552811713,1.3862963768276138,9.27579514927483,0.5384615384615384,0.7692307692307693,False,guidance + auto-window beat
rev_yoy,dd_abs,d60,control,plc_abs_d60,13,0.04052683391114896,0.019969430552811713,2.0294436440724017,12.691461051659084,0.6153846153846154,0.7692307692307693,False,guidance + auto-window beat
rev_yoy,dd_abs,full,candidate,dd_abs_full,13,0.03016538895163214,0.019969430552811713,1.5105783247977909,9.907941477308661,0.5384615384615384,0.7692307692307693,False,guidance + auto-window beat
rev_yoy,dd_abs,full,control,plc_abs_full,13,0.04228328489362066,0.019969430552811713,2.1174006330224144,12.911303057587942,0.6153846153846154,0.7692307692307693,False,guidance + auto-window beat
beat_vs_guide,dd_rel_plc,d30,candidate,dd_rel_plc_d30,14,0.016194636811065886,0.011874735244577425,1.3637892952991213,38.0062129950702,0.35714285714285715,0.0,False,random walk
beat_vs_guide,dd_rel_plc,d30,control,ctrl_rel_plc_d30,14,0.018937687136900885,0.011874735244577425,1.5947881571127023,44.33830263650114,0.2857142857142857,0.0,False,random walk
beat_vs_guide,dd_rel_plc,d45,candidate,dd_rel_plc_d45,14,0.01615576746132565,0.011874735244577425,1.3605160139215018,38.22819753351326,0.35714285714285715,0.0,False,random walk
beat_vs_guide,dd_rel_plc,d45,control,ctrl_rel_plc_d45,14,0.01877888347888796,0.011874735244577425,1.5814149193316374,43.29731607315735,0.2857142857142857,0.0,False,random walk
beat_vs_guide,dd_rel_plc,d60,candidate,dd_rel_plc_d60,14,0.016092708575543714,0.011874735244577425,1.3552056735658522,38.188579962181045,0.35714285714285715,0.0,False,random walk
beat_vs_guide,dd_rel_plc,d60,control,ctrl_rel_plc_d60,14,0.018166386857042884,0.011874735244577425,1.5298351064575129,41.74902009433957,0.2857142857142857,0.0,False,random walk
beat_vs_guide,dd_rel_plc,full,candidate,dd_rel_plc_full,14,0.016458090086113746,0.011874735244577425,1.3859753288924317,39.377238514215854,0.35714285714285715,0.0,False,random walk
beat_vs_guide,dd_rel_plc,full,control,ctrl_rel_plc_full,14,0.017498998330124374,0.011874735244577425,1.4736327143053785,39.060421265432794,0.35714285714285715,0.0,False,random walk
beat_vs_guide,dd_rel,d30,candidate,dd_rel_d30,14,0.01599911486035654,0.011874735244577425,1.3473239218249102,38.96025117762411,0.6428571428571429,0.0,False,random walk
beat_vs_guide,dd_rel,d30,control,plc_rel_d30,14,0.018937687136900885,0.011874735244577425,1.5947881571127023,44.33830263650114,0.2857142857142857,0.0,False,random walk
beat_vs_guide,dd_rel,d45,candidate,dd_rel_d45,14,0.015373413380621023,0.011874735244577425,1.2946320961253652,36.25157399192206,0.6428571428571429,0.0,False,random walk
beat_vs_guide,dd_rel,d45,control,plc_rel_d45,14,0.01877888347888796,0.011874735244577425,1.5814149193316374,43.29731607315735,0.2857142857142857,0.0,False,random walk
beat_vs_guide,dd_rel,d60,candidate,dd_rel_d60,14,0.01488888433816252,0.011874735244577425,1.2538287407259459,36.33130657952271,0.6428571428571429,0.0,False,random walk
beat_vs_guide,dd_rel,d60,control,plc_rel_d60,14,0.018166386857042884,0.011874735244577425,1.5298351064575129,41.74902009433957,0.2857142857142857,0.0,False,random walk
beat_vs_guide,dd_rel,full,candidate,dd_rel_full,14,0.015368085733204544,0.011874735244577425,1.2941834421295708,38.41348524085132,0.6428571428571429,0.0,False,random walk
beat_vs_guide,dd_rel,full,control,plc_rel_full,14,0.017498998330124374,0.011874735244577425,1.4736327143053785,39.060421265432794,0.35714285714285715,0.0,False,random walk
beat_vs_guide,dd_abs,d30,candidate,dd_abs_d30,14,0.013124848236813256,0.011874735244577425,1.1052750201573287,30.7358787075321,0.5714285714285714,0.0,False,random walk
beat_vs_guide,dd_abs,d30,control,plc_abs_d30,14,0.018998684866915014,0.011874735244577425,1.5999249225864405,39.35715012741312,0.5,0.0,False,random walk
beat_vs_guide,dd_abs,d45,candidate,dd_abs_d45,14,0.013158489779431978,0.011874735244577425,1.1081080553303937,30.684726867466633,0.5714285714285714,0.0,False,random walk
beat_vs_guide,dd_abs,d45,control,plc_abs_d45,14,0.019241674523030015,0.011874735244577425,1.620387665637993,38.58840723144028,0.6428571428571429,0.0,False,random walk
