date,package,downloads,cohort,is_imputed,impute_mode
2017-08-20,@opentelemetry/api,0.0,control,False,centered
2017-08-21,@opentelemetry/api,0.0,control,False,centered
2017-08-22,@opentelemetry/api,0.0,control,False,centered
2017-08-23,@opentelemetry/api,0.0,control,False,centered
2017-08-24,@opentelemetry/api,0.0,control,False,centered
2017-08-25,@opentelemetry/api,0.0,control,False,centered
2017-08-26,@opentelemetry/api,0.0,control,False,centered
2017-08-27,@opentelemetry/api,0.0,control,False,centered
2017-08-28,@opentelemetry/api,0.0,control,False,centered
2017-08-29,@opentelemetry/api,0.0,control,False,centered
2017-08-30,@opentelemetry/api,0.0,control,False,centered
2017-08-31,@opentelemetry/api,0.0,control,False,centered
2017-09-01,@opentelemetry/api,0.0,control,False,centered
2017-09-02,@opentelemetry/api,0.0,control,False,centered
2017-09-03,@opentelemetry/api,0.0,control,False,centered
2017-09-04,@opentelemetry/api,0.0,control,False,centered
2017-09-05,@opentelemetry/api,0.0,control,False,centered
2017-09-06,@opentelemetry/api,0.0,control,False,centered
2017-09-07,@opentelemetry/api,0.0,control,False,centered
2017-09-08,@opentelemetry/api,0.0,control,False,centered
2017-09-09,@opentelemetry/api,0.0,control,False,centered
2017-09-10,@opentelemetry/api,0.0,control,False,centered
2017-09-11,@opentelemetry/api,0.0,control,False,centered
2017-09-12,@opentelemetry/api,0.0,control,False,centered
2017-09-13,@opentelemetry/api,0.0,control,False,centered
2017-09-14,@opentelemetry/api,0.0,control,False,centered
2017-09-15,@opentelemetry/api,0.0,control,False,centered
2017-09-16,@opentelemetry/api,0.0,control,False,centered
2017-09-17,@opentelemetry/api,0.0,control,False,centered
2017-09-18,@opentelemetry/api,0.0,control,False,centered
2017-09-19,@opentelemetry/api,0.0,control,False,centered
2017-09-20,@opentelemetry/api,0.0,control,False,centered
2017-09-21,@opentelemetry/api,0.0,control,False,centered
2017-09-22,@opentelemetry/api,0.0,control,False,centered
2017-09-23,@opentelemetry/api,0.0,control,False,centered
2017-09-24,@opentelemetry/api,0.0,control,False,centered
2017-09-25,@opentelemetry/api,0.0,control,False,centered
2017-09-26,@opentelemetry/api,0.0,control,False,centered
2017-09-27,@opentelemetry/api,0.0,control,False,centered
2017-09-28,@opentelemetry/api,0.0,control,False,centered
2017-09-29,@opentelemetry/api,0.0,control,False,centered
2017-09-30,@opentelemetry/api,0.0,control,False,centered
2017-10-01,@opentelemetry/api,0.0,control,False,centered
2017-10-02,@opentelemetry/api,0.0,control,False,centered
2017-10-03,@opentelemetry/api,0.0,control,False,centered
2017-10-04,@opentelemetry/api,0.0,control,False,centered
2017-10-05,@opentelemetry/api,0.0,control,False,centered
2017-10-06,@opentelemetry/api,0.0,control,False,centered
2017-10-07,@opentelemetry/api,0.0,control,False,centered
2017-10-08,@opentelemetry/api,0.0,control,False,centered
2017-10-09,@opentelemetry/api,0.0,control,False,centered
2017-10-10,@opentelemetry/api,0.0,control,False,centered
2017-10-11,@opentelemetry/api,0.0,control,False,centered
2017-10-12,@opentelemetry/api,0.0,control,False,centered
2017-10-13,@opentelemetry/api,0.0,control,False,centered
2017-10-14,@opentelemetry/api,0.0,control,False,centered
2017-10-15,@opentelemetry/api,0.0,control,False,centered
2017-10-16,@opentelemetry/api,0.0,control,False,centered
2017-10-17,@opentelemetry/api,0.0,control,False,centered
2017-10-18,@opentelemetry/api,0.0,control,False,centered
2017-10-19,@opentelemetry/api,0.0,control,False,centered
2017-10-20,@opentelemetry/api,0.0,control,False,centered
2017-10-21,@opentelemetry/api,0.0,control,False,centered
2017-10-22,@opentelemetry/api,0.0,control,False,centered
2017-10-23,@opentelemetry/api,0.0,control,False,centered
2017-10-24,@opentelemetry/api,0.0,control,False,centered
2017-10-25,@opentelemetry/api,0.0,control,False,centered
2017-10-26,@opentelemetry/api,0.0,control,False,centered
2017-10-27,@opentelemetry/api,0.0,control,False,centered
2017-10-28,@opentelemetry/api,0.0,control,False,centered
2017-10-29,@opentelemetry/api,0.0,control,False,centered
2017-10-30,@opentelemetry/api,0.0,control,False,centered
2017-10-31,@opentelemetry/api,0.0,control,False,centered
2017-11-01,@opentelemetry/api,0.0,control,False,centered
2017-11-02,@opentelemetry/api,0.0,control,False,centered
2017-11-03,@opentelemetry/api,0.0,control,False,centered
2017-11-04,@opentelemetry/api,0.0,control,False,centered
2017-11-05,@opentelemetry/api,0.0,control,False,centered
2017-11-06,@opentelemetry/api,0.0,control,False,centered
2017-11-07,@opentelemetry/api,0.0,control,False,centered
2017-11-08,@opentelemetry/api,0.0,control,False,centered
2017-11-09,@opentelemetry/api,0.0,control,False,centered
2017-11-10,@opentelemetry/api,0.0,control,False,centered
2017-11-11,@opentelemetry/api,0.0,control,False,centered
2017-11-12,@opentelemetry/api,0.0,control,False,centered
2017-11-13,@opentelemetry/api,0.0,control,False,centered
2017-11-14,@opentelemetry/api,0.0,control,False,centered
2017-11-15,@opentelemetry/api,0.0,control,False,centered
2017-11-16,@opentelemetry/api,0.0,control,False,centered
2017-11-17,@opentelemetry/api,0.0,control,False,centered
2017-11-18,@opentelemetry/api,0.0,control,False,centered
2017-11-19,@opentelemetry/api,0.0,control,False,centered
2017-11-20,@opentelemetry/api,0.0,control,False,centered
2017-11-21,@opentelemetry/api,0.0,control,False,centered
2017-11-22,@opentelemetry/api,0.0,control,False,centered
2017-11-23,@opentelemetry/api,0.0,control,False,centered
2017-11-24,@opentelemetry/api,0.0,control,False,centered
2017-11-25,@opentelemetry/api,0.0,control,False,centered
2017-11-26,@opentelemetry/api,0.0,control,False,centered
2017-11-27,@opentelemetry/api,0.0,control,False,centered
2017-11-28,@opentelemetry/api,0.0,control,False,centered
2017-11-29,@opentelemetry/api,0.0,control,False,centered
2017-11-30,@opentelemetry/api,0.0,control,False,centered
2017-12-01,@opentelemetry/api,0.0,control,False,centered
2017-12-02,@opentelemetry/api,0.0,control,False,centered
2017-12-03,@opentelemetry/api,0.0,control,False,centered
2017-12-04,@opentelemetry/api,0.0,control,False,centered
2017-12-05,@opentelemetry/api,0.0,control,False,centered
2017-12-06,@opentelemetry/api,0.0,control,False,centered
2017-12-07,@opentelemetry/api,0.0,control,False,centered
2017-12-08,@opentelemetry/api,0.0,control,False,centered
2017-12-09,@opentelemetry/api,0.0,control,False,centered
