quarter,quarter_end,ticker,segment,peer_earnings_date,ddog_earnings_date,lead_days,peer_accn
2021Q4,2021-12-31,GOOGL,Google Cloud,2022-02-01,2022-02-10,9,0001652044-22-000015
2021Q4,2021-12-31,MSFT,Azure / Intelligent Cloud,2022-01-25,2022-02-10,16,0001193125-22-017041
2022Q1,2022-03-31,AMZN,AWS,2022-04-28,2022-05-05,7,0001018724-22-000011
2022Q1,2022-03-31,GOOGL,Google Cloud,2022-04-26,2022-05-05,9,0001652044-22-000025
2022Q1,2022-03-31,MSFT,Azure / Intelligent Cloud,2022-04-26,2022-05-05,9,0001193125-22-120207
2022Q2,2022-06-30,AMZN,AWS,2022-07-28,2022-08-04,7,0001018724-22-000017
2022Q2,2022-06-30,GOOGL,Google Cloud,2022-07-26,2022-08-04,9,0001652044-22-000068
2022Q2,2022-06-30,MSFT,Azure / Intelligent Cloud,2022-07-26,2022-08-04,9,0001193125-22-202034
2022Q3,2022-09-30,AMZN,AWS,2022-10-27,2022-11-03,7,0001018724-22-000021
2022Q3,2022-09-30,GOOGL,Google Cloud,2022-10-25,2022-11-03,9,0001652044-22-000085
2022Q3,2022-09-30,MSFT,Azure / Intelligent Cloud,2022-10-25,2022-11-03,9,0001193125-22-268356
2022Q4,2022-12-31,AMZN,AWS,2023-02-02,2023-02-16,14,0001018724-23-000002
2022Q4,2022-12-31,GOOGL,Google Cloud,2023-02-02,2023-02-16,14,0001652044-23-000013
2022Q4,2022-12-31,MSFT,Azure / Intelligent Cloud,2023-01-24,2023-02-16,23,0001193125-23-014230
2023Q1,2023-03-31,AMZN,AWS,2023-04-27,2023-05-04,7,0001018724-23-000006
2023Q1,2023-03-31,GOOGL,Google Cloud,2023-04-20,2023-05-04,14,0001652044-23-000034
2023Q1,2023-03-31,MSFT,Azure / Intelligent Cloud,2023-04-25,2023-05-04,9,0001193125-23-115280
2023Q2,2023-06-30,AMZN,AWS,2023-08-03,2023-08-08,5,0001018724-23-000010
2023Q2,2023-06-30,GOOGL,Google Cloud,2023-07-25,2023-08-08,14,0001652044-23-000067
2023Q2,2023-06-30,MSFT,Azure / Intelligent Cloud,2023-07-25,2023-08-08,14,0000950170-23-034400
2023Q3,2023-09-30,AMZN,AWS,2023-10-26,2023-11-07,12,0001018724-23-000016
2023Q3,2023-09-30,GOOGL,Google Cloud,2023-10-24,2023-11-07,14,0001652044-23-000088
2023Q3,2023-09-30,MSFT,Azure / Intelligent Cloud,2023-10-24,2023-11-07,14,0000950170-23-054848
2023Q4,2023-12-31,AMZN,AWS,2024-02-01,2024-02-13,12,0001018724-24-000006
2023Q4,2023-12-31,GOOGL,Google Cloud,2024-01-30,2024-02-13,14,0001652044-24-000014
2023Q4,2023-12-31,MSFT,Azure / Intelligent Cloud,2024-01-30,2024-02-13,14,0000950170-24-008809
2024Q1,2024-03-31,AMZN,AWS,2024-04-30,2024-05-07,7,0001018724-24-000081
2024Q1,2024-03-31,GOOGL,Google Cloud,2024-04-25,2024-05-07,12,0001652044-24-000047
2024Q1,2024-03-31,MSFT,Azure / Intelligent Cloud,2024-04-25,2024-05-07,12,0000950170-24-048268
2024Q2,2024-06-30,AMZN,AWS,2024-08-01,2024-08-08,7,0001018724-24-000128
2024Q2,2024-06-30,GOOGL,Google Cloud,2024-07-23,2024-08-08,16,0001652044-24-000076
2024Q2,2024-06-30,MSFT,Azure / Intelligent Cloud,2024-07-30,2024-08-08,9,0000950170-24-087835
2024Q3,2024-09-30,AMZN,AWS,2024-10-31,2024-11-07,7,0001018724-24-000158
2024Q3,2024-09-30,GOOGL,Google Cloud,2024-10-29,2024-11-07,9,0001652044-24-000115
2024Q3,2024-09-30,MSFT,Azure / Intelligent Cloud,2024-10-30,2024-11-07,8,0000950170-24-118955
2024Q4,2024-12-31,AMZN,AWS,2025-02-06,2025-02-13,7,0001018724-25-000002
2024Q4,2024-12-31,GOOGL,Google Cloud,2025-02-04,2025-02-13,9,0001652044-25-000010
2024Q4,2024-12-31,MSFT,Azure / Intelligent Cloud,2025-01-29,2025-02-13,15,0000950170-25-010484
2025Q1,2025-03-31,AMZN,AWS,2025-05-01,2025-05-06,5,0001018724-25-000034
2025Q1,2025-03-31,GOOGL,Google Cloud,2025-04-24,2025-05-06,12,0001652044-25-000040
2025Q1,2025-03-31,MSFT,Azure / Intelligent Cloud,2025-04-30,2025-05-06,6,0000950170-25-061032
2025Q2,2025-06-30,AMZN,AWS,2025-07-31,2025-08-07,7,0001018724-25-000084
2025Q2,2025-06-30,GOOGL,Google Cloud,2025-07-23,2025-08-07,15,0001652044-25-000056
2025Q2,2025-06-30,MSFT,Azure / Intelligent Cloud,2025-07-30,2025-08-07,8,0000950170-25-100226
2025Q3,2025-09-30,AMZN,AWS,2025-10-30,2025-11-06,7,0001018724-25-000121
2025Q3,2025-09-30,GOOGL,Google Cloud,2025-10-29,2025-11-06,8,0001652044-25-000087
2025Q3,2025-09-30,MSFT,Azure / Intelligent Cloud,2025-10-29,2025-11-06,8,0001193125-25-256310
2025Q4,2025-12-31,AMZN,AWS,2026-02-05,2026-02-10,5,0001018724-26-000002
2025Q4,2025-12-31,GOOGL,Google Cloud,2026-02-04,2026-02-10,6,0001652044-26-000012
2025Q4,2025-12-31,MSFT,Azure / Intelligent Cloud,2026-01-28,2026-02-10,13,0001193125-26-027198
2026Q1,2026-03-31,AMZN,AWS,2026-04-29,2026-05-07,8,0001018724-26-000012
2026Q1,2026-03-31,GOOGL,Google Cloud,2026-04-29,2026-05-07,8,0001652044-26-000043
2026Q1,2026-03-31,MSFT,Azure / Intelligent Cloud,2026-04-29,2026-05-07,8,0001193125-26-191457
2026Q2,2026-06-30,AMZN,AWS,2026-07-30,2026-08-06,7,0001018724-26-000024
2026Q2,2026-06-30,GOOGL,Google Cloud,2026-07-22,2026-08-06,15,0001652044-26-000066
2026Q2,2026-06-30,MSFT,Azure / Intelligent Cloud,2026-07-29,2026-08-06,8,0001193125-26-323632
