quarter,dd_rel,dd_rel_plc,composite_z,call,beat,trailing_mean_beat,outcome,called,correct,horizon
2024Q3,-0.8042606669286594,-0.41975430073413517,-0.6120074838313972,in line,0.0423202416918429,0.04022285352229668,above trend,False,,d30
2024Q4,1.2898388148822642,2.645483219503838,1.967661017193051,tracking ahead,0.03759071729957797,0.038069619170670255,below trend,True,0.0,d30
2025Q1,1.8252295611946225,3.2300908190113513,2.5276601901029867,tracking ahead,0.030518267929634746,0.03650475637226738,below trend,True,0.0,d30
2025Q2,0.7463083225085434,1.416854711554146,1.0815815170313448,tracking ahead,0.047858048162230604,0.03665661251304439,above trend,True,1.0,d30
2025Q3,0.3066922720313331,0.06525879173419394,0.1859755318827635,in line,0.043169611307420475,0.04027386853332321,above trend,False,,d30
2025Q4,-0.5548703876786969,-0.25580672156995854,-0.4053385546243277,in line,0.04288183807439827,0.039805825204876966,above trend,False,,d30
2026Q1,1.1232310898782571,0.07884682676031103,0.6010389583192841,in line,0.05274686192468625,0.03994321927513081,above trend,False,,d30
2026Q2,0.8858320795550376,-0.2279712505980846,0.3289304144784765,in line,0.04321302325581389,0.04181395392573356,above trend,False,,d30
2020Q4,-1.1709708799632288,-1.579213904303236,-1.3750923921332325,tracking behind,0.08914723926380375,0.08442147988903664,above trend,True,0.0,d45
2021Q1,-0.9878141772139314,-1.4678777965408836,-1.2278459868774074,tracking behind,0.06746774193548388,0.08536663176399006,below trend,True,1.0,d45
2021Q2,-0.25623084178989813,-1.158452148842665,-0.7073414953162815,in line,0.10164622641509435,0.08238348345923903,above trend,False,,d45
2021Q3,-0.071029368049815,-0.8028033096287341,-0.43691633883927455,in line,0.09509311740890691,0.08513530388150407,above trend,False,,d45
2021Q4,0.24112902767103314,-0.35386969240662275,-0.056370332367794804,in line,0.12095532646048102,0.08638003057242943,above trend,False,,d45
2022Q1,-0.35004082250209684,-1.156516003977051,-0.7532784132395739,in line,0.07884101040118852,0.08722983853685229,below trend,False,,d45
2022Q2,-0.3125504082843612,-0.06597280372585473,-0.18926160600510797,in line,0.0744391534391533,0.08305106653191613,below trend,False,,d45
2022Q3,-2.6907509675486003,-4.092869399849319,-3.3918101836989596,tracking behind,0.05954611650485431,0.08771521997106954,below trend,True,1.0,d45
2022Q4,-2.3461860391791114,-3.097712867053798,-2.721949453116455,tracking behind,0.050109619686800944,0.08589199147862076,below trend,True,1.0,d45
2023Q1,-1.105655536720567,-1.131720759163886,-1.1186881479422266,tracking behind,0.02930341880341869,0.0810122890314954,below trend,True,1.0,d45
2023Q2,-0.9766309468611944,-1.0337010072156014,-1.005165977038398,tracking behind,0.018920000000000048,0.07624174863998726,below trend,True,1.0,d45
2023Q3,-0.5852896571934358,-0.31796612396227325,-0.4516278905778546,in line,0.046913957934990425,0.06590097033810047,below trend,False,,d45
2023Q4,-0.6562956598840384,-0.5259238968434098,-0.591109778363724,in line,0.04178268551236752,0.059878575403860906,below trend,False,,d45
