quarter,feature,value,available_from,source
2019Q2,plc_abs_d45,0.5249776066514329,2019-05-16,npm (causal-imputed)
2019Q2,plc_rel_d45,0.3398460289589078,2019-05-16,npm (causal-imputed)
2019Q2,ctrl_abs_d60,0.19587764100625016,2019-05-31,npm (causal-imputed)
2019Q2,dd_abs_d60,2.6812757914680496,2019-05-31,npm (causal-imputed)
2019Q2,dd_rel_d60,2.4853981504617995,2019-05-31,npm (causal-imputed)
2019Q2,dd_rel_wide_d60,2.0570957769740392,2019-05-31,npm (causal-imputed)
2019Q2,plc_abs_d60,0.5312394272919612,2019-05-31,npm (causal-imputed)
2019Q2,plc_rel_d60,0.335361786285711,2019-05-31,npm (causal-imputed)
2019Q2,ctrl_abs_full,0.19473798521869767,2019-07-01,npm (causal-imputed)
2019Q2,dd_abs_full,2.536573780486746,2019-07-01,npm (causal-imputed)
2019Q2,dd_rel_full,2.3418357952680484,2019-07-01,npm (causal-imputed)
2019Q2,dd_rel_wide_full,1.8823179080373187,2019-07-01,npm (causal-imputed)
2019Q2,plc_abs_full,0.4788111105826651,2019-07-01,npm (causal-imputed)
2019Q2,plc_rel_full,0.28407312536396745,2019-07-01,npm (causal-imputed)
2019Q3,ctrl_abs_d30,0.18686645134795477,2019-07-31,npm (causal-imputed)
2019Q3,dd_abs_d30,2.4069970549106365,2019-07-31,npm (causal-imputed)
2019Q3,dd_rel_d30,2.2201306035626818,2019-07-31,npm (causal-imputed)
2019Q3,dd_rel_wide_d30,1.622669041994893,2019-07-31,npm (causal-imputed)
2019Q3,plc_abs_d30,0.5172474004038463,2019-07-31,npm (causal-imputed)
2019Q3,plc_rel_d30,0.33038094905589155,2019-07-31,npm (causal-imputed)
2019Q3,ctrl_abs_d45,0.22098068401130533,2019-08-15,npm (causal-imputed)
2019Q3,dd_abs_d45,2.364882197646377,2019-08-15,npm (causal-imputed)
2019Q3,dd_rel_d45,2.143901513635072,2019-08-15,npm (causal-imputed)
2019Q3,dd_rel_wide_d45,1.5440848244745027,2019-08-15,npm (causal-imputed)
2019Q3,plc_abs_d45,0.5164113117204394,2019-08-15,npm (causal-imputed)
2019Q3,plc_rel_d45,0.2954306277091341,2019-08-15,npm (causal-imputed)
2019Q3,ctrl_abs_d60,0.2491833380734345,2019-08-30,npm (causal-imputed)
2019Q3,dd_abs_d60,2.33404429183056,2019-08-30,npm (causal-imputed)
2019Q3,dd_rel_d60,2.0848609537571257,2019-08-30,npm (causal-imputed)
2019Q3,dd_rel_wide_d60,1.4775641479151105,2019-08-30,npm (causal-imputed)
2019Q3,plc_abs_d60,0.5250834623364184,2019-08-30,npm (causal-imputed)
2019Q3,plc_rel_d60,0.27590012426298394,2019-08-30,npm (causal-imputed)
2019Q3,ctrl_abs_full,0.24384954029398642,2019-10-01,npm (causal-imputed)
2019Q3,dd_abs_full,2.264239295259733,2019-10-01,npm (causal-imputed)
2019Q3,dd_rel_full,2.0203897549657466,2019-10-01,npm (causal-imputed)
2019Q3,dd_rel_wide_full,1.3814746534479063,2019-10-01,npm (causal-imputed)
2019Q3,plc_abs_full,0.4953783981846449,2019-10-01,npm (causal-imputed)
2019Q3,plc_rel_full,0.2515288578906585,2019-10-01,npm (causal-imputed)
2019Q3,msft_reported,1.0,2019-10-23,MSFT 8-K 0001193125-19-272562
2019Q3,amzn_reported,1.0,2019-10-24,AMZN 8-K 0001018724-19-000087
2019Q3,googl_reported,1.0,2019-10-28,GOOGL 8-K 0001652044-19-000030
2019Q4,ctrl_abs_d30,-0.16786955900444944,2019-10-31,npm (causal-imputed)
2019Q4,dd_abs_d30,1.987743407279149,2019-10-31,npm (causal-imputed)
2019Q4,dd_rel_d30,2.1556129662835986,2019-10-31,npm (causal-imputed)
2019Q4,dd_rel_wide_d30,1.475418212995839,2019-10-31,npm (causal-imputed)
2019Q4,plc_abs_d30,0.35505515286337896,2019-10-31,npm (causal-imputed)
2019Q4,plc_rel_d30,0.5229247118678284,2019-10-31,npm (causal-imputed)
2019Q4,guide_high_musd,103.0,2019-11-12,8-K EX-99.1 0001564590-19-042935 (UNVERIFIED)
2019Q4,guide_low_musd,101.0,2019-11-12,8-K EX-99.1 0001564590-19-042935 (UNVERIFIED)
2019Q4,guide_mid_musd,102.0,2019-11-12,8-K EX-99.1 0001564590-19-042935 (UNVERIFIED)
2019Q4,rev_yoy_lag1,0.8769628382347183,2019-11-12,"SEC 8-K/10-Q, 2019Q3 print"
2019Q4,ctrl_abs_d45,-0.08934017249601389,2019-11-15,npm (causal-imputed)
2019Q4,dd_abs_d45,1.9165760147681006,2019-11-15,npm (causal-imputed)
2019Q4,dd_rel_d45,2.0059161872641145,2019-11-15,npm (causal-imputed)
2019Q4,dd_rel_wide_d45,1.331632405727591,2019-11-15,npm (causal-imputed)
2019Q4,plc_abs_d45,0.36802931433647856,2019-11-15,npm (causal-imputed)
2019Q4,plc_rel_d45,0.45736948683249246,2019-11-15,npm (causal-imputed)
2019Q4,ctrl_abs_d60,-0.033346145232833635,2019-11-30,npm (causal-imputed)
2019Q4,dd_abs_d60,1.8605415632381614,2019-11-30,npm (causal-imputed)
2019Q4,dd_rel_d60,1.893887708470995,2019-11-30,npm (causal-imputed)
2019Q4,dd_rel_wide_d60,1.2207946855801293,2019-11-30,npm (causal-imputed)
2019Q4,plc_abs_d60,0.37432548490049555,2019-11-30,npm (causal-imputed)
2019Q4,plc_rel_d60,0.4076716301333292,2019-11-30,npm (causal-imputed)
2019Q4,ctrl_abs_full,0.0529343216592828,2020-01-01,npm (causal-imputed)
2019Q4,dd_abs_full,1.739178826466663,2020-01-01,npm (causal-imputed)
2019Q4,dd_rel_full,1.6862445048073802,2020-01-01,npm (causal-imputed)
2019Q4,dd_rel_wide_full,1.0210662852207744,2020-01-01,npm (causal-imputed)
2019Q4,plc_abs_full,0.37124450312505175,2020-01-01,npm (causal-imputed)
2019Q4,plc_rel_full,0.31831018146576895,2020-01-01,npm (causal-imputed)
2019Q4,msft_reported,1.0,2020-01-29,MSFT 8-K 0001193125-20-018383
2019Q4,amzn_reported,1.0,2020-01-30,AMZN 8-K 0001018724-20-000002
2019Q4,googl_reported,1.0,2020-02-03,GOOGL 8-K 0001652044-20-000004
2020Q1,rev_yoy_lag2,0.8769628382347183,2019-11-12,"SEC 8-K/10-Q, 2019Q3 print"
2020Q1,ctrl_abs_d30,0.40165169381075394,2020-01-31,npm (causal-imputed)
2020Q1,dd_abs_d30,1.5046538654819344,2020-01-31,npm (causal-imputed)
2020Q1,dd_rel_d30,1.1030021716711804,2020-01-31,npm (causal-imputed)
2020Q1,dd_rel_wide_d30,0.5768406387419276,2020-01-31,npm (causal-imputed)
2020Q1,plc_abs_d30,0.3219337057432483,2020-01-31,npm (causal-imputed)
2020Q1,plc_rel_d30,-0.07971798806750563,2020-01-31,npm (causal-imputed)
2020Q1,guide_high_musd,119.0,2020-02-13,8-K EX-99.1 0001564590-20-004607 (UNVERIFIED)
2020Q1,guide_low_musd,117.0,2020-02-13,8-K EX-99.1 0001564590-20-004607 (UNVERIFIED)
2020Q1,guide_mid_musd,118.0,2020-02-13,8-K EX-99.1 0001564590-20-004607 (UNVERIFIED)
2020Q1,ctrl_abs_d45,0.41497206502305595,2020-02-15,npm (causal-imputed)
2020Q1,dd_abs_d45,1.496520683515282,2020-02-15,npm (causal-imputed)
2020Q1,dd_rel_d45,1.081548618492226,2020-02-15,npm (causal-imputed)
2020Q1,dd_rel_wide_d45,0.5492271568101597,2020-02-15,npm (causal-imputed)
2020Q1,plc_abs_d45,0.33533802990580597,2020-02-15,npm (causal-imputed)
2020Q1,plc_rel_d45,-0.07963403511724998,2020-02-15,npm (causal-imputed)
2020Q1,ctrl_abs_d60,0.4316741522395837,2020-03-01,npm (causal-imputed)
2020Q1,dd_abs_d60,1.4541958393135666,2020-03-01,npm (causal-imputed)
2020Q1,dd_rel_d60,1.0225216870739828,2020-03-01,npm (causal-imputed)
2020Q1,dd_rel_wide_d60,0.5028258102543344,2020-03-01,npm (causal-imputed)
2020Q1,plc_abs_d60,0.3224923304955851,2020-03-01,npm (causal-imputed)
2020Q1,plc_rel_d60,-0.1091818217439986,2020-03-01,npm (causal-imputed)
2020Q1,ctrl_abs_full,0.47044317459407914,2020-04-01,npm (causal-imputed)
2020Q1,dd_abs_full,1.4656072262927289,2020-04-01,npm (causal-imputed)
2020Q1,dd_rel_full,0.9951640516986497,2020-04-01,npm (causal-imputed)
2020Q1,dd_rel_wide_full,0.48943412702842437,2020-04-01,npm (causal-imputed)
2020Q1,plc_abs_full,0.376617107063165,2020-04-01,npm (causal-imputed)
2020Q1,plc_rel_full,-0.09382606753091416,2020-04-01,npm (causal-imputed)
2020Q1,googl_reported,1.0,2020-04-28,GOOGL 8-K 0001652044-20-000018
2020Q1,msft_reported,1.0,2020-04-29,MSFT 8-K 0001193125-20-126089
2020Q1,amzn_reported,1.0,2020-04-30,AMZN 8-K 0001018724-20-000008
2020Q2,ctrl_abs_d30,0.6728234018201338,2020-05-01,npm (causal-imputed)
2020Q2,dd_abs_d30,1.5314436030355623,2020-05-01,npm (causal-imputed)
2020Q2,dd_rel_d30,0.8586202012154285,2020-05-01,npm (causal-imputed)
2020Q2,dd_rel_wide_d30,0.46915902492616546,2020-05-01,npm (causal-imputed)
2020Q2,plc_abs_d30,0.4914978424321603,2020-05-01,npm (causal-imputed)
2020Q2,plc_rel_d30,-0.18132555938797346,2020-05-01,npm (causal-imputed)
2020Q2,guide_high_musd,136.0,2020-05-11,8-K EX-99.1 0001564590-20-024231 (UNVERIFIED)
2020Q2,guide_low_musd,134.0,2020-05-11,8-K EX-99.1 0001564590-20-024231 (UNVERIFIED)
2020Q2,guide_mid_musd,135.0,2020-05-11,8-K EX-99.1 0001564590-20-024231 (UNVERIFIED)
2020Q2,rev_yoy_lag1,0.8736331192005711,2020-05-11,"SEC 8-K/10-Q, 2020Q1 print"
2020Q2,ctrl_abs_d45,0.7034847362390444,2020-05-16,npm (causal-imputed)
2020Q2,dd_abs_d45,1.5000700595753163,2020-05-16,npm (causal-imputed)
2020Q2,dd_rel_d45,0.7965853233362719,2020-05-16,npm (causal-imputed)
2020Q2,dd_rel_wide_d45,0.4031930679944917,2020-05-16,npm (causal-imputed)
2020Q2,plc_abs_d45,0.4698620066102954,2020-05-16,npm (causal-imputed)
2020Q2,plc_rel_d45,-0.23362272962874897,2020-05-16,npm (causal-imputed)
2020Q2,ctrl_abs_d60,0.6825033909288436,2020-05-31,npm (causal-imputed)
2020Q2,dd_abs_d60,1.4565801088686854,2020-05-31,npm (causal-imputed)
2020Q2,dd_rel_d60,0.7740767179398418,2020-05-31,npm (causal-imputed)
2020Q2,dd_rel_wide_d60,0.38584344758878153,2020-05-31,npm (causal-imputed)
2020Q2,plc_abs_d60,0.4529311352283294,2020-05-31,npm (causal-imputed)
