target,candidate,window,role,n_oos,rmse_ratio,boot_lo,boot_hi,ci_covers_1,dm_p,hit,hit_base
cust_yoy,dd_rel,full,candidate,11,1.3019248388432532,0.9020402027987862,2.0034883994241417,True,0.18472602000782157,0.6363636363636364,0.5454545454545454
cust_yoy,dd_rel,full,control,11,1.8324967268339383,1.3423255389481217,2.6470295604845213,False,0.03526210519557038,0.6363636363636364,0.5454545454545454
cust_yoy,dd_abs,d30,candidate,11,1.0893914645425844,0.6866715550469142,1.758493212815021,True,0.7161087864476938,0.6363636363636364,0.5454545454545454
cust_yoy,dd_abs,d30,control,11,1.7908729639125254,1.3438644280627445,2.693096443687865,False,0.019381486201192732,0.5454545454545454,0.5454545454545454
cust_yoy,dd_abs,d45,candidate,11,1.0617501787611228,0.6408776337824869,1.65677510157986,True,0.7805652921940669,0.6363636363636364,0.5454545454545454
cust_yoy,dd_abs,d45,control,11,1.766663937682285,1.3712746560166924,2.4628866710829396,False,0.018279229019858123,0.5454545454545454,0.5454545454545454
cust_yoy,dd_abs,d60,candidate,11,1.0489941379835241,0.6161277721383452,1.6651419186942804,True,0.8311793845119126,0.6363636363636364,0.5454545454545454
cust_yoy,dd_abs,d60,control,11,1.7810373948392033,1.366536836959588,2.5590333869471698,False,0.018480300146340056,0.5454545454545454,0.5454545454545454
cust_yoy,dd_abs,full,candidate,11,1.080223433474265,0.6371026345569767,1.5552478936203378,True,0.6925371398214246,0.6363636363636364,0.5454545454545454
cust_yoy,dd_abs,full,control,11,1.689585170703666,1.3422135075593462,2.310985851588606,False,0.017451638995798602,0.5454545454545454,0.5454545454545454
billings_yoy,dd_rel_plc,d30,candidate,7,1.1119633127177875,0.4579439834711657,1.8386842018006289,True,0.796970969086277,0.42857142857142855,0.42857142857142855
billings_yoy,dd_rel_plc,d30,control,7,1.8103501651327705,1.0655231219971777,2.615588890622525,False,0.12599020129712524,0.42857142857142855,0.42857142857142855
billings_yoy,dd_rel_plc,d45,candidate,7,1.10619689294541,0.42548633075174197,1.8515138533754745,True,0.8124513825565565,0.5714285714285714,0.42857142857142855
billings_yoy,dd_rel_plc,d45,control,7,1.8831394435392743,1.2120437402631439,2.6246017641237307,False,0.0859169672100486,0.42857142857142855,0.42857142857142855
billings_yoy,dd_rel_plc,d60,candidate,7,1.1194788058507161,0.40889608042901354,1.8822826329703577,True,0.7951881582105966,0.5714285714285714,0.42857142857142855
billings_yoy,dd_rel_plc,d60,control,7,1.6887757898268811,1.0597770833970093,2.3957686638481412,False,0.11724602970761588,0.42857142857142855,0.42857142857142855
billings_yoy,dd_rel_plc,full,candidate,7,1.2688538523291548,0.5079484764523012,2.144511961981438,True,0.6321680694955882,0.5714285714285714,0.42857142857142855
billings_yoy,dd_rel_plc,full,control,7,1.4650365260488527,0.7359507244826784,1.958847305332589,True,0.2826543568359019,0.42857142857142855,0.42857142857142855
billings_yoy,dd_rel,d30,candidate,7,1.5473133670801267,0.6205265839117634,2.4736619703996494,True,0.40220339869799027,0.7142857142857143,0.42857142857142855
billings_yoy,dd_rel,d30,control,7,1.8103501651327705,1.0655231219971777,2.615588890622525,False,0.12599020129712524,0.42857142857142855,0.42857142857142855
billings_yoy,dd_rel,d45,candidate,7,1.3574703034574114,0.4536331084747226,2.25972173908735,True,0.5534012993241719,0.5714285714285714,0.42857142857142855
billings_yoy,dd_rel,d45,control,7,1.8831394435392743,1.2120437402631439,2.6246017641237307,False,0.0859169672100486,0.42857142857142855,0.42857142857142855
billings_yoy,dd_rel,d60,candidate,7,1.3608866233074048,0.5389519130633872,2.2487088382420977,True,0.5420445651268031,0.5714285714285714,0.42857142857142855
billings_yoy,dd_rel,d60,control,7,1.6887757898268811,1.0597770833970093,2.3957686638481412,False,0.11724602970761588,0.42857142857142855,0.42857142857142855
billings_yoy,dd_rel,full,candidate,7,1.292161183344382,0.5827481788201464,2.138971731798104,True,0.5959288023959108,0.42857142857142855,0.42857142857142855
billings_yoy,dd_rel,full,control,7,1.4650365260488527,0.7359507244826784,1.958847305332589,True,0.2826543568359019,0.42857142857142855,0.42857142857142855
billings_yoy,dd_abs,d30,candidate,7,1.8979487616859672,1.2768144225663483,2.283056773543741,False,0.0905811374495682,0.7142857142857143,0.42857142857142855
billings_yoy,dd_abs,d30,control,7,2.3842425747648455,1.751371728437982,3.0891439560358536,False,0.047449614424591724,0.42857142857142855,0.42857142857142855
billings_yoy,dd_abs,d45,candidate,7,2.04624017969379,1.2746266130119335,2.4355447728322464,False,0.10939766292731856,0.7142857142857143,0.42857142857142855
billings_yoy,dd_abs,d45,control,7,2.0280799771905498,1.6017152755149848,2.593880384472916,False,0.015297983984930319,0.42857142857142855,0.42857142857142855
billings_yoy,dd_abs,d60,candidate,7,1.8861144043848166,1.1691966758947576,2.204843784003385,False,0.1311867644107787,0.7142857142857143,0.42857142857142855
billings_yoy,dd_abs,d60,control,7,1.8415241483880802,1.4344023104452324,2.4010247753890104,False,0.016132885110685447,0.42857142857142855,0.42857142857142855
billings_yoy,dd_abs,full,candidate,7,1.7083130893404406,1.0570716403772689,2.1769496544220646,False,0.1426368892430787,0.7142857142857143,0.42857142857142855
billings_yoy,dd_abs,full,control,7,1.6207293815237762,1.4476644753297454,1.8591590749144937,False,0.020765669134888753,0.5714285714285714,0.42857142857142855
